product_id,supplier_catalog_id,samples_size
34659454,ab249760-1mg,1 mg
502649,ab91450,200 µl
100427460,ab286624.1e+006cells/vial,1000000 Cell(s)
100452316,ab313012,100 µl
34656119,ab144817-50mg,50 mg
34659454,ab2497601mg,1 mg
73275521,ab278602-10Test,10 Test(s)
517759,ab13979250ug,50 µg
73262676,ab281802-10ug,10 µg
589030,ab211296,50 µg
34645742,ab266090,1000000 Cells/Vial
100454014,ab315205,100 µl
100426686,ab286769.1e+006cells/vial,1000000 Cell(s)
73261802,ab27873910Test,10 Test(s)
100430074,ab314604,96 Unit(s)
100437174,ab316265,1 ml
34646424,ab267036,1000000 Cells/Vial
100452318,ab313013,100 µl
560508,ab9692,2 µg
11576686,ab254481,250 mg
100426668,ab286265.1e+006cells/vial,1000000 Cell(s)
73249058,ab22936720ug,20 µg
100427376,ab286566.1e+006cells/vial,1000000 Cell(s)
73262113,ab280374-100ug,100 µg
73262113,ab280374100ug,100 µg
73262676,ab28180210ug,10 µg
724904,10458.1.AP,150 µl
537058,ab150156500ug,500 µg
561835,ab190688,100 µl
34658091,ab241888,96 Unit(s)
73249058,ab229367-20ug,20 µg
73252506,ab266414,1 Vial(s)
100427262,ab286682.1e+006cells/vial,1000000 Cell(s)
100445490,ab307589,100 µl
558674,ab167966-5ug,5 µg
105399407,ab270081250ug,250 µg
100451134,ab312368,100 µl
557153,ab198420,100 µg
589030,ab21129650ug,50 µg
544471,ab142707,1 mg
504526,ab62494100ug,100 µg
73268581,ab305038-1mg,1 mg
73275521,ab27860210Test,10 Test(s)
100427270,ab286685.1e+006cells/vial,1000000 Cell(s)
105399407,ab270081-250ug,250 µg
517759,ab139792-50ug,50 µg
73262471,ab2812591mg,1 mg
659823,ab155085100uL,100 µl
100427426,ab286419,1000000 Cell(s)
589696,ab197988100uL,100 µl
73261802,ab278739-10Test,10 Test(s)
100445640,ab307401,100 µl
34654353,ab279894,96 Test(s)
105402065,ab157832-10ug,10 µg
100427118,ab286639.1e+006cells/vial,1000000 Cell(s)
532045,ab150687,100 Unit(s)
34658255,ab244059,96 Unit(s)
100427534,ab286603.1e+006cells/vial,1000000 Cell(s)
100426410,ab286655.1e+006cells/vial,1000000 Cell(s)
508728,ab194215,1 mg
514133,ab155427,96 Test(s)
137880099,ab178397,100 µl
73246610,ab109884,1 Unit(s)
100427510,ab286768.1e+006cells/vial,1000000 Cell(s)
73260643,ab276439,20 µg
73275269,ab277024,200 µg
100459106,ab316045,100 µg
537058,ab150156-500ug,500 µg
11566000,ab239964,100 µg
544750,ab142870,25 mg
100427392,ab286430.1e+006cells/vial,1000000 Cell(s)
593680,ab20001,250 µl
100435516,ab307288,1 ml
105402065,ab15783210ug,10 µg
543861,ab142455,1 g
100427540,ab286760.1e+006cells/vial,1000000 Cell(s)
558674,ab1679665ug,5 µg
100503199,ab308009,100 µg
561835,ab190688100uL,100 µl
500930,ab2872-100ug,100 µg
73262471,ab281259-1mg,1 mg
500930,ab2872100ug,100 µg
504526,ab62494-100ug,100 µg
495792,ab46034,96 Test(s)
100427430,ab286562.1e+006cells/vial,1000000 Cell(s)
100458914,ab316239,100 µg
100444624,ab315238,10 µl
73268581,ab3050381mg,1 mg
589696,ab197988-100uL,100 µl
100426692,ab286253.1e+006cells/vial,1000000 Cell(s)
659823,ab155085-100uL,100 µl
100443018,ab308439,10 µl
34656119,ab144817,50 mg
494819,ab193255-100ml,100 ml
100427260,ab286681.1e+006cells/vial,1000000 Cell(s)
34645961,ab266402,1000000 Cells/Vial
11548648,ab233488,48 Unit(s)
100440398,ab309568,1 mg
100426980,ab286325.1e+006cells/vial,1000000 Cell(s)
100427074,ab286663.1e+006cells/vial,1000000 Cell(s)
